n,depth,positions
2,0,2
3,0,2
3,1,1
4,0,3
4,1,1
5,0,2
5,1,3
6,0,4
6,1,1
6,2,1
7,0,3
7,1,3
7,2,1
8,0,4
8,1,3
8,2,1
9,0,3
9,1,6
10,0,5
10,1,4
10,3,1
11,0,4
11,1,6
11,2,1
12,0,5
12,1,5
12,2,1
12,3,1
13,0,5
13,1,5
13,2,2
13,3,1
14,0,4
14,1,10
15,0,6
15,1,6
15,2,2
15,3,1
16,0,7
16,1,6
16,2,2
16,3,1
17,0,5
17,1,10
17,2,1
17,3,1
18,0,6
18,1,8
18,2,3
18,3,1
19,0,6
19,1,9
19,2,2
19,3,2
20,0,7
20,1,9
20,2,3
20,3,1
21,0,7
21,1,9
21,2,4
21,3,1
22,0,7
22,1,11
22,2,2
22,3,2
23,0,6
23,1,12
23,2,4
23,3,1
24,0,9
24,1,9
24,2,4
24,3,2
25,0,8
25,1,10
25,2,4
25,3,3
26,0,7
26,1,16
26,2,1
26,3,2
27,0,8
27,1,14
27,2,1
27,3,4
28,0,9
28,1,14
28,2,2
28,3,3
29,0,8
29,1,12
29,2,7
29,3,2
30,0,8
30,1,16
30,2,3
30,3,3
31,0,10
31,1,14
31,2,2
31,3,5
32,0,9
32,1,15
32,2,4
32,3,4
33,0,10
33,1,16
33,2,4
33,3,2
33,4,1
34,0,9
34,1,18
34,2,4
34,3,3
35,0,10
35,1,17
35,2,4
35,3,4
36,0,9
36,1,20
36,2,3
36,3,3
36,4,1
37,0,9
37,1,19
37,2,6
37,3,3
38,0,12
38,1,15
38,2,6
38,3,5
39,0,11
39,1,17
39,2,7
39,3,4
40,0,12
40,1,18
40,2,6
40,3,4
41,0,11
41,1,20
41,2,5
41,3,5
42,0,9
42,1,24
42,2,3
42,3,5
42,4,1
43,0,12
43,1,19
43,2,6
43,3,6
44,0,11
44,1,22
44,2,5
44,3,5
44,4,1
45,0,13
45,1,19
45,2,8
45,3,5
46,0,10
46,1,26
46,2,4
46,3,5
46,4,1
47,0,13
47,1,19
47,2,8
47,3,7
48,0,15
48,1,19
48,2,8
48,3,6
49,0,10
49,1,28
49,2,3
49,3,7
49,4,1
50,0,11
50,1,27
50,2,6
50,3,6
51,0,15
51,1,20
