model,trial,seed,worst_start,max_R,band,actual_weighted_mass,actual_intersections,count_j1,weighted_j1,count_j2,weighted_j2,count_j3,weighted_j3,count_j4,weighted_j4,count_j5,weighted_j5
genuine,0,0,449021,19.538984077823596,d<=n,399.80000000001263,2218,945,945.0,789,-736.399999999989,326,260.80000000000155,131,-78.59999999999997,27,8.999999999999998
genuine,0,0,449021,19.538984077823596,n<d<=n^2,-18.133333333329986,1173,0,0.0,281,-262.26666666666733,456,364.800000000003,285,-170.9999999999991,151,50.333333333333414
genuine,0,0,449021,19.538984077823596,n^2<d<(n+1)^2,8.600000000000005,72,0,0.0,0,0.0,21,16.800000000000004,27,-16.199999999999996,24,7.9999999999999964
genuine,0,0,449021,19.538984077823596,(n+1)^2<=d<=n^3,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
genuine,0,0,449021,19.538984077823596,n^3<d<=n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
genuine,0,0,449021,19.538984077823596,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
uniform,1,13429448149543749704,979412,109.47231741115694,d<=n,415.13333333334754,2279,956,956.0,812,-757.8666666666544,356,284.8000000000019,128,-76.79999999999998,27,8.999999999999998
uniform,1,13429448149543749704,979412,109.47231741115694,n<d<=n^2,1.1333333333351732,2209,0,0.0,331,-308.9333333333342,639,511.2000000000051,658,-394.80000000000354,581,193.6666666666678
uniform,1,13429448149543749704,979412,109.47231741115694,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
uniform,1,13429448149543749704,979412,109.47231741115694,(n+1)^2<=d<=n^3,52.533333333334085,796,0,0.0,0,0.0,68,54.399999999999935,262,-157.19999999999922,466,155.33333333333337
uniform,1,13429448149543749704,979412,109.47231741115694,n^3<d<=n^4,11.400000000000004,37,0,0.0,0,0.0,0,0.0,1,-0.6,36,12.000000000000004
uniform,1,13429448149543749704,979412,109.47231741115694,d>n^4,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
uniform,2,654489455647505135,103865,177.67231741115694,d<=n,422.4666666666826,2302,935,935.0,834,-778.3999999999866,415,332.00000000000256,113,-67.80000000000007,5,1.6666666666666665
uniform,2,654489455647505135,103865,177.67231741115694,n<d<=n^2,67.66666666665657,2987,0,0.0,285,-266.0000000000007,609,487.20000000000476,912,-547.2000000000093,1181,393.66666666666174
uniform,2,654489455647505135,103865,177.67231741115694,n^2<d<(n+1)^2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
