model,band,count_realizations,mean_actual_weighted_mass,median_actual_weighted_mass,mean_actual_intersections
genuine,d<=n,1,399.80000000001263,399.80000000001263,2218.0
genuine,n<d<=n^2,1,-18.133333333329986,-18.133333333329986,1173.0
genuine,n^2<d<(n+1)^2,1,8.600000000000005,8.600000000000005,72.0
genuine,(n+1)^2<=d<=n^3,1,0.0,0.0,0.0
genuine,n^3<d<=n^4,1,0.0,0.0,0.0
genuine,d>n^4,1,0.0,0.0,0.0
uniform,d<=n,100,412.6433333333485,412.4666666666805,2244.7
uniform,n<d<=n^2,100,-22.710000000000797,-31.033333333333594,2073.0
uniform,n^2<d<(n+1)^2,100,0.0,0.0,0.0
uniform,(n+1)^2<=d<=n^3,100,84.42066666666753,73.23333333333456,878.18
uniform,n^3<d<=n^4,100,21.275333333333325,10.900000000000002,80.85
uniform,d>n^4,100,0.16333333333333333,0.0,0.49
independent_square,d<=n,100,410.6906666666823,410.5333333333475,2253.8
independent_square,n<d<=n^2,100,-24.33466666666759,-31.43333333333225,2085.54
independent_square,n^2<d<(n+1)^2,100,0.0,0.0,0.0
independent_square,(n+1)^2<=d<=n^3,100,83.28266666666755,78.33333333333356,896.97
independent_square,n^3<d<=n^4,100,22.67933333333333,13.000000000000007,86.35
independent_square,d>n^4,100,0.32000000000000006,0.0,0.96
