k,D_lo,D_hi,T_D,cumulative_T,divisor_terms,below_x_over_Y
0,1,2,-381,-381,215443,1
1,2,4,38,-343,71814,1
2,4,8,84,-259,73866,1
3,8,16,262,3,50520,1
4,16,32,271,274,58017,1
5,32,64,-289,-15,62047,1
6,64,128,231,216,61611,1
7,128,256,-732,-516,61528,1
8,256,512,430,-86,60408,1
9,512,1024,387,301,59971,1
10,1024,2048,-271,30,60593,1
11,2048,4096,-256,-226,60620,1
12,4096,8192,275,49,60495,1
13,8192,16384,-126,-77,60538,1
14,16384,32768,-134,-211,60522,1
15,32768,65536,145,-66,60545,1
16,65536,131072,79,13,60579,1
17,131072,262144,-178,-165,60666,1
18,262144,524288,-153,-318,60375,1
19,524288,1048576,-260,-578,59568,1
20,1048576,2097152,34,-544,49966,1
21,2097152,4194304,123,-421,48715,1
22,4194304,8388608,-233,-654,45863,0
23,8388608,16777216,-111,-765,43533,0
24,16777216,33554432,-384,-1149,41032,0
25,33554432,67108864,-157,-1306,38853,0
26,67108864,134217728,-614,-1920,36916,0
27,134217728,268435456,-489,-2409,34795,0
28,268435456,536870912,-845,-3254,32961,0
29,536870912,1073741824,-673,-3927,30949,0
30,1073741824,2147483648,-607,-4534,29155,0
31,2147483648,4294967296,-3022,-7556,27568,0
32,4294967296,8589934592,-1064,-8620,25836,0
33,8589934592,17179869184,-6078,-14698,24092,0
34,17179869184,34359738368,-652,-15350,21398,0
35,34359738368,68719476736,-4608,-19958,22748,0
36,68719476736,137438953472,-3418,-23376,15578,0
37,137438953472,274877906944,-17647,-41023,17647,0
38,274877906944,549755813888,-15933,-56956,15933,0
39,549755813888,1099511627776,41289,-15667,41289,0
