n,shell_lo,shell_hi,candidate_count,irreducible_rows,exact_covered,exact_holes,max_depth,S1,S2,S3,S4,S5,S6,S7,S8,S9,U1,certified_holes_1,slack_1,certifies_hole_1,U3,certified_holes_3,slack_3,certifies_hole_3,U5,certified_holes_5,slack_5,certifies_hole_5,U7,certified_holes_7,slack_7,certifies_hole_7,U9,certified_holes_9,slack_9,certifies_hole_9
2,4,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1
3,9,16,3,1,1,2,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1,2,0,1,1,2,0,1,1,2,0,1,1,2,0,1
4,16,25,4,1,1,3,1,1,0,0,0,0,0,0,0,0,1,3,0,1,1,3,0,1,1,3,0,1,1,3,0,1,1,3,0,1
5,25,36,5,2,3,2,1,3,0,0,0,0,0,0,0,0,3,2,0,1,3,2,0,1,3,2,0,1,3,2,0,1,3,2,0,1
6,36,49,6,2,2,4,2,3,1,0,0,0,0,0,0,0,3,3,1,1,2,4,0,1,2,4,0,1,2,4,0,1,2,4,0,1
7,49,64,7,3,4,3,2,5,1,0,0,0,0,0,0,0,5,2,1,1,4,3,0,1,4,3,0,1,4,3,0,1,4,3,0,1
8,64,81,8,3,4,4,2,5,1,0,0,0,0,0,0,0,5,3,1,1,4,4,0,1,4,4,0,1,4,4,0,1,4,4,0,1
9,81,100,9,3,6,3,1,6,0,0,0,0,0,0,0,0,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1,6,3,0,1
10,100,121,10,3,5,5,3,7,3,1,0,0,0,0,0,0,7,3,2,1,5,5,0,1,5,5,0,1,5,5,0,1,5,5,0,1
11,121,144,11,4,7,4,2,8,1,0,0,0,0,0,0,0,8,3,1,1,7,4,0,1,7,4,0,1,7,4,0,1,7,4,0,1
12,144,169,12,4,7,5,3,10,4,1,0,0,0,0,0,0,10,2,3,1,7,5,0,1,7,5,0,1,7,5,0,1,7,5,0,1
13,169,196,13,5,8,5,3,12,5,1,0,0,0,0,0,0,12,1,4,1,8,5,0,1,8,5,0,1,8,5,0,1,8,5,0,1
14,196,225,14,5,10,4,1,10,0,0,0,0,0,0,0,0,10,4,0,1,10,4,0,1,10,4,0,1,10,4,0,1,10,4,0,1
15,225,256,15,5,9,6,3,13,5,1,0,0,0,0,0,0,13,2,4,1,9,6,0,1,9,6,0,1,9,6,0,1,9,6,0,1
16,256,289,16,5,9,7,3,13,5,1,0,0,0,0,0,0,13,3,4,1,9,7,0,1,9,7,0,1,9,7,0,1,9,7,0,1
17,289,324,17,6,12,5,3,15,4,1,0,0,0,0,0,0,15,2,3,1,12,5,0,1,12,5,0,1,12,5,0,1,12,5,0,1
18,324,361,18,6,12,6,3,17,6,1,0,0,0,0,0,0,17,1,5,1,12,6,0,1,12,6,0,1,12,6,0,1,12,6,0,1
19,361,400,19,7,13,6,3,19,8,2,0,0,0,0,0,0,19,0,6,0,13,6,0,1,13,6,0,1,13,6,0,1,13,6,0,1
20,400,441,20,7,13,7,3,18,6,1,0,0,0,0,0,0,18,2,5,1,13,7,0,1,13,7,0,1,13,7,0,1,13,7,0,1
21,441,484,21,7,14,7,3,20,7,1,0,0,0,0,0,0,20,1,6,1,14,7,0,1,14,7,0,1,14,7,0,1,14,7,0,1
22,484,529,22,7,15,7,3,21,8,2,0,0,0,0,0,0,21,1,6,1,15,7,0,1,15,7,0,1,15,7,0,1,15,7,0,1
