n,exact_holes,max_depth,K3_r3_ratio,K3_r3_margin,K3_bonf_ratio,K3_bonf_margin,K3_best_r,K3_best_ratio,K3_best_margin,K5_r3_ratio,K5_r3_margin,K5_bonf_ratio,K5_bonf_margin,K5_best_r,K5_best_ratio,K5_best_margin,K7_r3_ratio,K7_r3_margin,K7_bonf_ratio,K7_bonf_margin,K7_best_r,K7_best_ratio,K7_best_margin,K9_r3_ratio,K9_r3_margin,K9_bonf_ratio,K9_bonf_margin,K9_best_r,K9_best_ratio,K9_best_margin,K11_r3_ratio,K11_r3_margin,K11_bonf_ratio,K11_bonf_margin,K11_best_r,K11_best_ratio,K11_best_margin
10001,1093,6,0.969886344699,301.166666667,1.19948005199,-1995,3,0.969886344699,301.166666667,0.908115855081,918.933333333,0.895510448955,1045,2,0.895510448955,1045,0.9000349965,999.75,0.890710928907,1093,2,0.890710928907,1093,0.896512570965,1034.97777778,0.890710928907,1093,2,0.890710928907,1093,0.894666593947,1053.43939394,0.890710928907,1093,2,0.890710928907,1093
11000,1225,6,0.971106060606,317.833333333,1.20872727273,-2296,3,0.971106060606,317.833333333,0.906521212121,1028.26666667,0.893,1177,2,0.893,1177,0.898217532468,1119.60714286,0.888636363636,1225,2,0.888636363636,1225,0.894597979798,1159.42222222,0.888636363636,1225,2,0.888636363636,1225,0.892701101928,1180.28787879,0.888636363636,1225,2,0.888636363636,1225
12000,1318,7,0.973472222222,318.333333333,1.21291666667,-2555,3,0.973472222222,318.333333333,0.908122222222,1102.53333333,0.895,1260,2,0.895,1260,0.899767857143,1202.78571429,0.890166666667,1318,2,0.890166666667,1318,0.896140740741,1246.31111111,0.890166666667,1318,2,0.890166666667,1318,0.89423989899,1269.12121212,0.890166666667,1318,2,0.890166666667,1318
13000,1399,7,0.976012820513,311.833333333,1.22315384615,-2901,3,0.976012820513,311.833333333,0.910056410256,1169.26666667,0.897538461538,1332,2,0.897538461538,1332,0.901818681319,1276.35714286,0.892384615385,1399,2,0.892384615385,1399,0.898254700855,1322.68888889,0.892384615385,1399,2,0.892384615385,1399,0.896386946387,1346.96969697,0.892384615385,1399,2,0.892384615385,1399
14000,1477,7,0.980166666667,277.666666667,1.23542857143,-3296,3,0.980166666667,277.666666667,0.912071428571,1231,0.901214285714,1383,2,0.901214285714,1383,0.903836734694,1346.28571429,0.8945,1477,2,0.8945,1477,0.90030952381,1395.66666667,0.8945,1477,2,0.8945,1477,0.898461038961,1421.54545455,0.8945,1477,2,0.8945,1477
15000,1585,7,0.980188888889,297.166666667,1.237,-3555,3,0.980188888889,297.166666667,0.911937777778,1320.93333333,0.8998,1503,2,0.8998,1503,0.90375,1443.75,0.894333333333,1585,2,0.894333333333,1585,0.900192592593,1497.11111111,0.894333333333,1585,2,0.894333333333,1585,0.898328282828,1525.07575758,0.894333333333,1585,2,0.894333333333,1585
16000,1606,7,0.988666666667,181.333333333,1.2530625,-4049,3,0.988666666667,181.333333333,0.917525,1319.6,0.905125,1518,2,0.905125,1518,0.909200892857,1452.78571429,0.899625,1606,2,0.899625,1606,0.905583333333,1510.66666667,0.899625,1606,2,0.899625,1606,0.9036875,1541,0.899625,1606,2,0.899625,1606
17000,1771,7,0.984323529412,266.5,1.24988235294,-4248,3,0.984323529412,266.5,0.91368627451,1467.33333333,0.902176470588,1663,2,0.902176470588,1663,0.905355042017,1608.96428571,0.895823529412,1771,2,0.895823529412,1771,0.901754248366,1670.17777778,0.895823529412,1771,2,0.895823529412,1771,0.899867201426,1702.25757576,0.895823529412,1771,2,0.895823529412,1771
18000,1842,7,0.988805555556,201.5,1.25761111111,-4637,3,0.988805555556,201.5,0.915940740741,1513.06666667,0.9045,1719,2,0.9045,1719,0.907420634921,1666.42857143,0.897666666667,1842,2,0.897666666667,1842,0.903735802469,1732.75555556,0.897666666667,1842,2,0.897666666667,1842,0.901804713805,1767.51515152,0.897666666667,1842,2,0.897666666667,1842
19000,1972,7,0.988824561404,212.333333333,1.26278947368,-4993,3,0.988824561404,212.333333333,0.914392982456,1626.53333333,0.904,1824,2,0.904,1824,0.905906015038,1787.78571429,0.896210526316,1972,2,0.896210526316,1972,0.902243274854,1857.37777778,0.896210526316,1972,2,0.896210526316,1972,0.900323763955,1893.84848485,0.896210526316,1972,2,0.896210526316,1972
