n,K,event,old_best_r,new_best_r,best_ratio,best_margin,exact_holes,max_depth
10001,3,initial_best_r,,3,0.969886344699,301.166666667,1093,6
10001,5,initial_best_r,,2,0.895510448955,1045,1093,6
10001,7,initial_best_r,,2,0.890710928907,1093,1093,6
10001,9,initial_best_r,,2,0.890710928907,1093,1093,6
10001,11,initial_best_r,,2,0.890710928907,1093,1093,6
100299,5,best_r_change,2,3,0.932652701755,6754.86666667,8597,8
100300,5,best_r_change,3,2,0.93110667996,6910,8705,8
100308,5,best_r_change,2,3,0.932055934389,6815.33333333,8679,8
100309,5,best_r_change,3,2,0.930614401499,6960,8720,8
100768,5,best_r_change,2,3,0.93196054303,6856.2,8721,8
100769,5,best_r_change,3,2,0.930286099892,7025,8805,8
101226,5,best_r_change,2,3,0.931499812301,6934,8807,8
101227,5,best_r_change,3,2,0.931836367767,6900,8705,8
101260,5,best_r_change,2,3,0.931165975377,6970.13333333,8861,8
101261,5,best_r_change,3,2,0.931602492569,6926,8726,7
101540,5,best_r_change,2,3,0.930852865866,7021.2,8894,8
101541,5,best_r_change,3,2,0.930363104559,7071,8851,7
101551,5,best_r_change,2,3,0.931247681789,6981.86666667,8867,8
101552,5,best_r_change,3,2,0.930882700488,7019,8838,8
101680,5,best_r_change,2,3,0.931869918699,6927.46666667,8824,8
101681,5,best_r_change,3,2,0.930124605384,7105,8869,8
101687,5,best_r_change,2,3,0.932586597435,6855.06666667,8732,8
101688,5,best_r_change,3,2,0.931929037841,6922,8714,7
101748,5,best_r_change,2,3,0.931661228394,6953.33333333,8840,8
101749,5,best_r_change,3,2,0.930918239983,7029,8841,8
101883,5,best_r_change,2,3,0.932406780326,6886.6,8773,8
101884,5,best_r_change,3,2,0.930803659063,7050,8856,8
101940,5,best_r_change,2,3,0.932912170558,6838.93333333,8739,8
101941,5,best_r_change,3,2,0.930204726263,7115,8925,8
102107,5,best_r_change,2,3,0.931996826858,6943.6,8849,8
102108,5,best_r_change,3,2,0.931004426685,7045,8861,8
102398,5,best_r_change,2,3,0.932186826566,6943.93333333,8843,8
102399,5,best_r_change,3,2,0.931386048692,7026,8843,8
102414,5,best_r_change,2,3,0.930924808457,7074.26666667,8982,8
102415,5,best_r_change,3,2,0.930449641166,7123,8935,8
102472,5,best_r_change,2,3,0.933253962058,6839.6,8757,8
102473,5,best_r_change,3,2,0.931611253696,7008,8825,8
102476,5,best_r_change,2,3,0.931554054933,7014.06666667,8911,8
102477,5,best_r_change,3,2,0.93141875738,7028,8869,8
102516,5,best_r_change,2,3,0.932192048071,6951.4,8865,8
102517,5,best_r_change,3,2,0.93159183355,7013,8842,8
102528,5,best_r_change,2,3,0.931634935497,7009.33333333,8896,8
102529,5,best_r_change,3,2,0.932321587063,6939,8771,8
102588,5,best_r_change,2,3,0.932344263787,6940.66666667,8858,8
102589,5,best_r_change,3,2,0.931883535272,6988,8866,8
102748,5,best_r_change,2,3,0.931177249192,7071.4,8985,8
102749,5,best_r_change,3,2,0.931571110181,7031,8894,8
102810,5,best_r_change,2,3,0.932522128198,6937.4,8845,8
102811,5,best_r_change,3,2,0.930746709982,7120,8924,8
102993,5,best_r_change,2,3,0.930234740872,7185.33333333,9094,8
102994,5,best_r_change,3,2,0.931102782686,7096,8958,7
103028,5,best_r_change,2,3,0.93140958445,7066.73333333,8969,8
103029,5,best_r_change,3,2,0.931446485941,7063,8906,8
103057,5,best_r_change,2,3,0.931788557142,7029.66666667,8933,8
103058,5,best_r_change,3,2,0.930757437559,7136,8949,7
103060,5,best_r_change,2,3,0.931632058995,7046,8964,8
103061,5,best_r_change,3,2,0.931885000146,7020,8877,7
103122,5,best_r_change,2,3,0.931036377624,7111.66666667,9032,8
103123,5,best_r_change,3,2,0.931053208305,7110,8974,8
103147,5,best_r_change,2,3,0.931464156334,7069.26666667,8995,8
103148,5,best_r_change,3,2,0.930798464342,7138,8997,8
103176,5,best_r_change,2,3,0.931550619007,7062.33333333,8982,8
103177,5,best_r_change,3,2,0.932126345988,7003,8842,8
103215,5,best_r_change,2,3,0.932332186859,6984.33333333,8904,8
103216,5,best_r_change,3,2,0.931725701442,7047,8884,8
103227,5,best_r_change,2,3,0.931953203458,7024.26666667,8948,8
103228,5,best_r_change,3,2,0.931472081218,7074,8918,8
103251,5,best_r_change,2,3,0.931646182604,7057.6,8978,8
103252,5,best_r_change,3,2,0.931129663348,7111,8963,8
103286,5,best_r_change,2,3,0.931594472307,7065.33333333,8987,8
103287,5,best_r_change,3,2,0.931985632267,7025,8919,8
103381,5,best_r_change,2,3,0.932315738224,6997.26666667,8905,8
103382,5,best_r_change,3,2,0.931264630206,7106,8974,8
103449,5,best_r_change,2,3,0.932078608783,7026.4,8946,8
103450,5,best_r_change,3,2,0.93116481392,7121,9002,7
103467,5,best_r_change,2,3,0.933365549724,6894.46666667,8812,8
103468,5,best_r_change,3,2,0.931099470368,7129,8982,8
103480,5,best_r_change,2,3,0.931749130267,7062.6,8983,8
103481,5,best_r_change,3,2,0.931687942714,7069,8920,8
103502,5,best_r_change,2,3,0.931632238991,7076.2,8986,7
103503,5,best_r_change,3,2,0.931605847174,7079,8964,8
103536,5,best_r_change,2,3,0.932859424097,6951.46666667,8873,8
103537,5,best_r_change,3,2,0.929928431382,7255,9089,8
103569,5,best_r_change,2,3,0.931845758222,7058.66666667,8989,8
103570,5,best_r_change,3,2,0.931688712948,7075,8976,8
103602,5,best_r_change,2,3,0.932801168575,6961.93333333,8891,8
103603,5,best_r_change,3,2,0.931054120054,7143,9028,8
103626,5,best_r_change,2,3,0.931730775417,7074.46666667,8993,8
103627,5,best_r_change,3,2,0.931031487933,7147,9031,8
103660,5,best_r_change,2,3,0.931074667181,7144.8,9080,8
103661,5,best_r_change,3,2,0.931796914944,7070,8944,8
103672,5,best_r_change,2,3,0.93117460195,7135.26666667,9067,8
103673,5,best_r_change,3,2,0.931129609445,7140,8950,7
103681,5,best_r_change,2,3,0.932755278209,6972,8887,8
103682,5,best_r_change,3,2,0.930933045273,7161,9017,8
103710,5,best_r_change,2,3,0.932008485199,7051.4,8968,8
103711,5,best_r_change,3,2,0.931000568889,7156,9029,8
103769,5,best_r_change,2,3,0.932645909022,6989.26666667,8909,8
103770,5,best_r_change,3,2,0.931868555459,7070,8982,7
103784,5,best_r_change,2,3,0.931810298312,7077,9010,8
103785,5,best_r_change,3,2,0.932475791299,7008,8904,8
103933,5,best_r_change,2,3,0.931197983316,7150.8,9084,8
103934,5,best_r_change,3,2,0.932110762599,7056,8927,8
103952,5,best_r_change,2,3,0.931856369606,7083.66666667,9021,8
103953,5,best_r_change,3,2,0.931632564717,7107,8961,8
103992,5,best_r_change,2,3,0.932206964638,7049.93333333,8989,8
103993,5,best_r_change,3,2,0.930841498947,7192,9074,8
104003,5,best_r_change,2,3,0.933292308876,6937.8,8877,8
104004,5,best_r_change,3,2,0.931368024307,7138,9003,8
104068,5,best_r_change,2,3,0.931464683348,7132.33333333,9067,7
104069,5,best_r_change,3,2,0.931814469246,7096,8956,8
104088,5,best_r_change,2,3,0.932177260267,7059.53333333,8982,8
104089,5,best_r_change,3,2,0.931385641134,7142,9048,8
104096,5,best_r_change,2,3,0.932507172866,7025.73333333,8979,8
104097,5,best_r_change,3,2,0.931410127093,7140,9002,8
104116,5,best_r_change,2,3,0.932071919782,7072.4,9010,8
104117,5,best_r_change,3,2,0.932402969736,7038,8910,8
104184,5,best_r_change,2,3,0.932262791471,7057.13333333,8968,8
104185,5,best_r_change,3,2,0.931669626146,7119,9011,8
104207,5,best_r_change,2,3,0.931754424687,7111.66666667,9041,8
104208,5,best_r_change,3,2,0.931675111316,7120,9022,8
104215,5,best_r_change,2,3,0.932593196757,7024.8,8959,8
104216,5,best_r_change,3,2,0.932793429032,7004,8876,8
104233,5,best_r_change,2,3,0.931816859024,7106.93333333,9055,8
104234,5,best_r_change,3,2,0.930943837903,7198,9065,7
104330,5,best_r_change,2,3,0.932599763571,7031.86666667,8980,8
104331,5,best_r_change,3,2,0.931947359845,7100,8983,7
104368,5,best_r_change,2,3,0.931597807757,7139,9085,8
104369,5,best_r_change,3,2,0.931358928417,7164,9056,8
104386,5,best_r_change,2,3,0.931796090153,7119.53333333,9064,8
104387,5,best_r_change,3,2,0.931715635089,7128,9033,8
104424,5,best_r_change,2,3,0.932087131949,7091.73333333,9046,8
104425,5,best_r_change,3,2,0.932305482404,7069,9011,8
104497,5,best_r_change,2,3,0.932103313971,7095,9041,8
104498,5,best_r_change,3,2,0.931979559417,7108,8951,8
104512,5,best_r_change,2,3,0.932053735456,7101.2,9046,8
104513,5,best_r_change,3,2,0.93096552582,7215,9113,8
104525,5,best_r_change,2,3,0.932442956231,7061.4,9012,8
104526,5,best_r_change,3,2,0.931978646461,7110,8984,7
104552,5,best_r_change,2,3,0.932139668937,7094.93333333,9033,7
