n,shell_lo,shell_hi,candidate_count,raw_edges,distinct_covered,collision_excess,edge_surplus,holes,identity_check,active_rows,total_rows,band_count,first_hole_offset,first_hole_value
2,4,9,2,0,0,0,-2,2,2,0,0,0,1,5
3,9,16,3,1,1,0,-2,2,2,1,1,1,2,11
4,16,25,4,1,1,0,-3,3,3,1,1,1,1,17
5,25,36,5,3,3,0,-2,2,2,2,2,1,4,29
6,36,49,6,3,2,1,-3,4,4,1,2,2,1,37
7,49,64,7,5,4,1,-2,3,3,2,3,2,4,53
8,64,81,8,5,4,1,-3,4,4,3,3,2,3,67
9,81,100,9,7,6,1,-2,3,3,3,4,2,2,83
10,100,121,10,8,5,3,-2,5,5,3,4,3,1,101
11,121,144,11,9,7,2,-2,4,4,4,5,3,6,127
12,144,169,12,11,7,4,-1,5,5,3,5,3,5,149
13,169,196,13,14,8,6,1,5,5,3,6,3,4,173
14,196,225,14,11,10,1,-3,4,4,5,6,3,1,197
15,225,256,15,15,9,6,0,6,6,4,7,4,2,227
16,256,289,16,16,9,7,0,7,7,3,7,4,1,257
17,289,324,17,18,12,6,1,5,5,6,8,4,4,293
18,324,361,18,20,12,8,2,6,6,4,8,4,7,331
19,361,400,19,22,13,9,3,6,6,5,9,4,6,367
20,400,441,20,22,13,9,2,7,7,6,9,4,1,401
21,441,484,21,24,14,10,3,7,7,5,10,5,2,443
22,484,529,22,26,15,11,4,7,7,5,10,5,3,487
23,529,576,23,28,17,11,5,6,6,5,11,5,12,541
24,576,625,24,29,15,14,5,9,9,6,11,5,1,577
25,625,676,25,34,17,17,9,8,8,6,12,5,6,631
26,676,729,26,29,19,10,3,7,7,7,12,5,1,677
27,729,784,27,37,19,18,10,8,8,7,13,5,4,733
28,784,841,28,35,19,16,7,9,9,7,13,6,3,787
29,841,900,29,40,21,19,11,8,8,8,14,6,12,853
30,900,961,30,40,22,18,10,8,8,7,14,6,7,907
31,961,1024,31,42,21,21,11,10,10,7,15,6,6,967
